,0,1,2
0,0.9840169,-10.34535,1.122881
1,1.216254,-10.06522,0.2513912
2,1.271321,-9.883265,-0.4022259
3,1.041478,-9.904813,-0.581791
4,0.7613561,-9.979033,-0.4668693
5,0.6823475,-10.02213,-0.2561796
6,1.098939,-9.94312,-0.007182605
7,1.345541,-9.82341,0.1149217
8,1.400608,-9.809045,0.3303998
9,0.878672,-9.892841,0.7398083
10,0.533907,-9.868899,0.7757214
11,0.3926491,-9.864111,0.806846
12,0.3998317,-9.847352,0.7445967
13,0.3303998,-9.763555,0.5746084
14,0.4860229,-9.811439,0.5674258
15,0.6512229,-9.655815,0.4237737
16,0.1843535,-9.722853,0.9337386
17,0.2274492,-9.911995,1.285686
18,0.225055,-9.804255,1.273715
19,0.4046201,-9.689334,1.338359
20,0.5363012,-9.895236,1.654393
21,0.5506664,-9.935937,1.740585
22,0.8331822,-9.811439,1.000776
23,0.8643068,-9.794679,0.8283938
24,0.7422025,-9.842564,0.8403648
25,0.7565677,-9.911995,0.8690952
26,0.8283938,-9.782708,0.9097966
27,0.6679823,-9.744401,1.115698
28,0.5530606,-9.911995,1.414973
29,0.5051765,-9.904813,1.596933
30,0.3830723,-9.756371,1.553837
31,0.4764462,-9.689334,1.604115
32,0.6775591,-9.65821,1.651999
33,0.6344634,-9.557653,1.503559
34,0.5027823,-9.65821,1.740585
35,0.6655881,-9.854534,1.78368
36,1.039083,-9.593566,1.414973
37,0.8619126,-9.619903,1.513135
38,0.6512229,-9.722853,1.711854
39,0.5482722,-9.737218,1.805228
40,0.3806781,-10.04368,2.360683
41,0.5003881,-10.17296,2.403779
42,0.7015011,-9.92636,2.018312
43,0.8571242,-9.655815,1.649605
44,0.806846,-10.0748,1.963245
45,0.6129156,-10.07241,1.927332
46,0.6751649,-9.840169,1.587356
47,0.7302315,-9.85214,1.63524
48,0.6200982,-9.928755,1.781286
49,0.7589619,-9.765948,1.735796
50,0.8762778,-9.689334,1.812411
51,0.7900866,-9.65821,1.92015
52,0.8595184,-9.773131,1.991976
53,0.8331822,-9.674969,1.893814
54,0.878672,-9.643845,1.501164
55,0.8714894,-9.540894,1.398214
56,0.6009446,-9.631873,1.70946
57,0.1580173,-10.03649,2.245761
58,0.5530606,-9.64145,1.759738
59,1.010353,-9.581595,1.510741
60,1.012747,-9.909601,1.893814
61,0.7876924,-9.864111,1.932121
62,0.8092402,-9.504981,1.371878
63,0.8140285,-10.01974,1.704672
64,1.127669,-9.504981,0.8619126
65,1.393425,-9.737218,0.8762778
66,1.254562,-10.12268,1.288081
