,0
0,-0.7278373
1,0.213084
2,0.5530606
3,0.296881
4,0.6344634
5,0.320823
6,-0.5602432
7,-1.151611
8,-0.6991069
9,-0.3830723
10,-0.5841852
11,-0.4429273
12,0.08619126
13,0.09816227
14,-0.3950433
15,-0.6847417
16,-0.6512229
17,-0.2825158
18,0.2777274
19,0.1891419
20,0.1915361
21,0.3591303
22,0.5434838
23,0.3711013
24,0.3591303
25,0.2442086
26,-0.2466028
27,0.1173159
28,0.1843535
29,-0.1891419
30,0.2681506
31,0.3184288
32,0.2226608
33,0.1819593
34,-0.1939303
35,0.1747767
36,0.5315128
37,0.3495534
38,0.1532289
39,0.2777274
40,0.344765
41,0.3040636
42,0.296881
43,0.1197101
44,-0.1819593
45,-0.248997
46,-0.2035071
47,-0.4309563
48,-0.4429273
49,-0.308852
50,-0.2681506
51,-0.3687071
52,-0.2681506
53,0.1699883
54,-0.4548983
55,-0.5626374
56,-0.2106898
57,-0.2681506
58,-0.4118027
59,-0.6464345
60,-0.5051765
61,-0.5051765
62,-0.6727707
63,-0.7661445
64,0.1460463
65,0.3926491
66,0.1173159
67,-0.2394202
68,-0.1699883
69,0.1125275
70,0.3112462
71,0.3232172
72,0.3567361
73,0.1987187
74,-0.1580173
75,0.308852
76,0.5315128
77,0.3567361
78,-0.3256114
79,-0.1508347
80,0.213084
81,0.3639187
82,0.3830723
83,0.3375824
84,0.2202666
85,-0.2154782
86,-0.2059013
87,-0.3998317
88,-0.2394202
89,-0.3495534
90,0.1675941
91,0.1197101
92,-0.2178724
93,0.2442086
94,0.8499416
95,0.7445967
96,0.3519476
97,0.2825158
98,0.1580173
99,0.2274492
100,0.5985504
101,0.6344634
102,-0.4979939
103,-0.6536171
104,-0.7805098
105,-1.09415
106,-0.890643
107,-0.3184288
108,-0.1747767
109,-0.4118027
110,-0.1963245
111,0.1651999
112,0.272939
113,0.4477157
114,0.9624691
115,0.8212111
116,0.1939303
117,0.4046201
118,0.7805098
119,0.5746084
120,0.5315128
121,-0.2873042
122,-1.120486
123,-1.307234
124,-0.9792285
125,-0.4860229
126,-0.4620809
127,-0.4932055
128,-0.3495534
129,-0.4261679
130,-1.00317
131,0.09816227
132,0.9648633
133,1.041478
134,0.866701
135,0.1771709
136,0.2035071
137,0.1197101
138,0.1436521
139,-0.2298434
140,0.1173159
141,0.2753332
142,-0.5674258
143,-1.403002
144,-1.077391
145,-0.4381389
146,-0.1747767
147,-0.1532289
148,0.1053449
149,0.2082956
150,-0.1604115
151,-0.2106898
152,-0.1412579
153,-0.1556231
154,0.08140286
155,0.1987187
156,-0.1532289
157,-0.8164227
158,-0.7062895
159,-0.5291186
160,0.8523358
161,1.151611
162,0.8619126
163,0.6200982
164,-0.4932055
165,-0.4525041
166,0.2059013
167,0.617704
168,0.2106898
169,-1.443704
170,-0.9624691
171,-0.3184288
172,0.4022259
173,1.244985
174,1.170765
175,-1.101333
176,-1.254562
177,0.8930372
178,1.031901
179,1.161188
180,0.9121908
181,-1.158794
182,-0.7565677
183,0.296881
184,0.8188169
185,0.7398083
186,-0.9959879
187,-1.719037
188,0.3423708
189,1.422156
190,1.388637
191,0.8236053
192,-0.4118027
193,-0.3471592
194,0.6799533
195,1.223437
196,1.022324
197,0.2537854
198,-1.101333
199,-1.393425
200,-0.332794
201,0.3758897
202,0.7134721
203,1.007959
204,0.3471592
205,0.7469909
206,1.719037
207,0.9888053
208,-2.578555
209,-3.567361
210,-2.6839
211,-0.5602432
212,1.165976
213,-1.431733
214,-1.462857
215,1.508347
216,2.839523
217,1.927332
218,-0.3495534
219,-2.363077
220,-1.577779
221,-0.2298434
222,1.438915
223,1.742979
224,0.4357447
225,-0.9935937
226,-0.6631939
227,1.403002
228,2.379837
229,1.331176
230,-1.228225
231,-2.600103
232,-0.7924808
233,1.364695
234,2.15957
235,1.465251
236,-2.401384
237,-1.68073
238,0.3711013
239,2.731784
240,2.633622
241,-2.104503
242,-2.695871
243,-1.163582
244,0.9792285
245,1.750161
246,0.926556
247,-0.8475474
248,-1.414973
249,-0.6584055
250,1.953669
251,2.432509
252,-2.571373
253,-2.762909
254,-0.8475474
255,0.9002198
256,1.798046
257,1.027112
258,-2.099715
259,-2.243367
260,2.885013
261,3.236961
262,1.017536
263,-1.869872
264,-1.45328
265,0.6584055
266,1.953669
267,1.908179
268,0.5243302
269,-0.9457096
270,-1.096544
271,1.403002
272,2.640805
273,1.975216
274,-0.4285621
275,-2.590526
276,-0.878672
277,1.364695
278,1.860295
279,0.7493851
280,-1.594538
281,-2.102109
282,-0.5650316
283,1.522712
284,2.161964
285,0.5602432
286,-2.049437
287,-1.551443
288,0.4333505
289,1.39582
290,0.6081272
291,-1.005565
292,-0.8188169
293,-0.5913678
294,0.7589619
295,2.355895
296,-1.161188
297,-1.616086
298,0.3711013
299,0.9313444
300,0.7038953
301,-0.7230489
302,-1.158794
303,-0.6200982
304,1.326388
305,2.138022
306,0.8595184
307,-1.271321
308,-2.530671
309,0.1316811
310,0.9911995
311,0.830788
312,-0.5434838
313,-1.218649
314,-0.6919243
315,0.7422025
316,1.833959
317,1.484405
318,-0.1556231
319,-1.687912
320,-0.9169792
321,0.641646
322,1.443704
323,0.6631939
324,-1.484405
325,-1.551443
326,-1.046266
327,0.5171475
328,2.13084
329,-1.33357
330,-1.90339
331,-1.309628
332,0.2226608
333,1.04866
334,0.3064578
335,-1.285686
336,-1.175553
337,0.4285621
338,1.733402
339,2.20506
340,-0.9768343
341,-1.711854
342,-0.213084
343,0.8523358
344,0.7541735
345,-0.4453215
346,-1.04866
347,-0.8475474
348,0.2537854
349,1.810017
350,2.059013
351,-0.2059013
352,-1.872266
353,-0.9744401
354,0.641646
355,1.175553
356,-0.3280056
357,-0.3782839
358,-0.4596867
359,0.7182605
360,0.629675
361,0.8643068
362,-0.6775591
363,-0.3902549
364,-0.237026
365,0.4477157
366,0.9121908
367,-0.9193734
368,-0.9816227
369,0.521936
370,1.036689
371,0.9911995
372,-0.8044518
373,-1.256956
374,-0.9648633
375,1.343147
376,-0.4788404
377,-1.005565
378,-0.9768343
379,-0.4429273
380,0.3782839
381,0.3567361
382,-0.5075707
383,-0.557849
384,0.1987187
385,0.1963245
386,-0.4764462
387,-0.3950433
388,-0.6272808
389,0.938527
390,0.794875
391,-1.587356
392,-1.501164
393,-0.3184288
394,0.3567361
395,-0.3040636
396,-0.7134721
397,-0.5506664
398,-0.6895301
399,0.3567361
400,0.2154782
401,0.4548983
402,-0.4453215
403,-0.7661445
404,-0.5291186
405,1.18513
406,0.4908113
407,-0.1843535
408,-1.175553
409,-1.13964
410,-0.5650316
411,1.491588
412,0.3495534
413,-0.7015011
414,-1.295263
415,-0.7517793
416,1.256956
417,0.6727707
418,-0.9768343
419,-1.742979
420,-0.8044518
421,0.7733272
422,1.302446
423,0.3663129
424,-0.8738836
425,-0.3639187
426,0.605733
427,0.806846
428,-0.3639187
429,-0.8379706
430,-0.5770026
431,-0.7541735
432,0.7110779
433,1.036689
434,0.8499416
435,-0.8523358
436,-1.422156
437,0.2561796
438,1.604115
439,1.015141
440,-0.4261679
441,-0.5482722
442,-0.6607997
443,0.5602432
444,0.3375824
445,0.5147533
446,-0.3351882
447,1.211466
448,0.9624691
449,-0.9457096
450,-0.7805098
451,0.8762778
452,1.058237
453,0.248997
454,-1.175553
455,-1.247379
456,-0.3926491
457,0.6272808
458,0.2298434
459,0.7661445
460,0.1292869
461,-0.7278373
462,0.5602432
463,0.5985504
464,-0.9983821
465,-1.151611
466,0.5722142
467,1.501164
468,0.2466028
469,-1.261744
470,-0.9744401
